"","week","Confirmed","Recovered","Deceased"
"1",1,1,0,0
"2",2,0,0,0
"3",3,0,0,0
"4",4,0,0,0
"5",5,0,0,0
"6",6,21,0,0
"7",7,45,0,0
"8",8,150,0,1
"9",9,132,40,1
"10",10,69,129,0
"11",11,28,127,0
"12",12,69,85,1
"13",13,42,63,0
"14",14,13,89,0
"15",15,96,12,0
"16",16,260,23,2
"17",17,475,75,6
"18",18,706,228,6
"19",19,654,339,4
"20",20,765,614,2
"21",21,1150,584,1
"22",22,1358,1066,3
"23",23,2669,1047,6
"24",24,5042,1408,13
"25",25,7366,4101,21
"26",26,7813,5852,23
"27",27,9589,8057,27
"28",28,11295,8032,50
"29",29,15377,9850,77
"30",30,17501,13310,69
"31",31,16140,16672,67
"32",32,23519,15144,102
"33",33,30582,19854,110
"34",34,44359,24974,158
"35",35,61947,29941,180
"36",36,67869,52178,190
"37",37,62004,62525,183
"38",38,58702,57921,193
"39",39,54043,61574,206
"40",40,53004,62153,208
"41",41,44329,52583,201
"42",42,42278,53141,201
"43",43,42159,44221,201
"44",44,42435,46114,222
"45",45,37715,39425,233
"46",46,41237,39424,222
"47",47,40358,35382,190
"48",48,40241,38511,190
"49",49,39896,40891,186
"50",50,41245,36368,184
"51",51,47435,42782,165
"52",52,44936,45829,156
"53",53,44526,48192,145
"54",54,41772,45678,137
"55",55,35134,40269,119
"56",56,28816,37867,123
"57",57,21178,30701,118
"58",58,16043,29271,109
"59",59,14750,20946,114
"60",60,15640,15968,97
"61",61,19456,15690,101
"62",62,34759,17514,125
"63",63,79220,25144,162
"64",64,184488,45403,206
"65",65,261592,120388,325
"66",66,295809,195657,458
"67",67,281140,256895,682
"68",68,229703,396403,1019
"69",69,192133,256199,1471
"70",70,138697,209566,1491
"71",71,109829,152983,1462
"72",72,92739,115189,1085
"73",73,91147,97468,931
"74",74,95695,91844,899
"75",75,103752,91514,946
"76",76,107821,97474,861
"77",77,124549,108620,766
"78",78,157425,127292,868
"79",79,161764,148718,966
"80",80,156205,154788,938
"81",81,142764,159102,986
"82",82,203505,168274,1113
"83",83,230266,186330,1030
"84",84,194294,220969,1129
"85",85,153275,210319,1107
"86",86,141075,157467,1164
"87",87,106269,133427,933
"88",88,86891,116000,959
"89",89,70212,95059,692
"90",90,68565,80278,1801
"91",91,61864,59772,3492
"92",92,54015,58115,2202
"93",93,52691,56140,2176
"94",94,45780,54505,1810
"95",95,37785,49341,2539
"96",96,36562,39683,1921
"97",97,33134,37015,1528
"98",98,26761,33015,1679
"99",99,20528,27545,2179
"100",100,19116,22787,1795
"101",101,35930,18369,1556
"102",102,99527,25470,1285
"103",103,282389,107251,1142
"104",104,385867,276564,1927
"105",105,339438,341189,5064
"106",106,162729,350318,4459
"107",107,72743,185955,2092
"108",108,33641,77539,1170
"109",109,17409,35204,1019
"110",110,10417,16716,672
"111",111,6937,10102,546
"112",112,4492,6322,482
"113",113,3096,4158,302
"114",114,2495,2817,300
"115",115,1936,2305,267
"116",116,2361,1796,275
"117",117,2546,2239,240
"118",118,2840,2447,209
"119",119,3263,2755,132
